항목,신호명,GPIO 번호,방향,연결 부품,비고
1,CAM_XCLK,15,OUT,OV3660,카메라 클럭 20MHz
2,CAM_SIOD (SDA),4,I/O,OV3660,SCCB 데이터
3,CAM_SIOC (SCL),5,OUT,OV3660,SCCB 클럭
4,CAM_D0 (Y2),11,IN,OV3660,데이터 비트 0
5,CAM_D1 (Y3),9,IN,OV3660,데이터 비트 1
6,CAM_D2 (Y4),8,IN,OV3660,데이터 비트 2
7,CAM_D3 (Y5),10,IN,OV3660,데이터 비트 3
8,CAM_D4 (Y6),12,IN,OV3660,데이터 비트 4
9,CAM_D5 (Y7),18,IN,OV3660,데이터 비트 5
10,CAM_D6 (Y8),17,IN,OV3660,데이터 비트 6
11,CAM_D7 (Y9),16,IN,OV3660,데이터 비트 7
12,CAM_VSYNC,6,IN,OV3660,수직 동기
13,CAM_HREF,7,IN,OV3660,수평 동기
14,CAM_PCLK,13,IN,OV3660,픽셀 클럭
15,SENSOR_SDA,1,I/O,MPU6050 / MAX30102,센서 I2C 데이터 (Bus 1)
16,SENSOR_SCL,2,OUT,MPU6050 / MAX30102,센서 I2C 클럭 (Bus 1) 400kHz
